closetim;starttim;difftime;email;s_2;s_3;s_6;s_1;s_8;s_4;s_262;s_263;s_259;s_260;s_261;s_257;s_15;s_5;s_21_1;s_21_2;s_21_3;s_21_4;s_21_5;s_21_6;s_21_7;s_21_8;s_21_9;s_21_10;s_21_11;s_21_12;s_21_13;s_21_14;s_21_15;s_7;s_256;s_235;s_236;s_237;s_227;s_228;s_229;s_230;s_24_1;s_24_2;s_24_3;s_24_4;s_24_5;s_24_6;s_24_7;s_24_8;s_24_9;s_24_10;s_24_11;s_24_12;s_24_13;s_24_14;s_24_15;s_24_16;s_24_17;s_159;s_160;s_161;s_164;s_165;s_166;s_167;s_163;s_179;s_170;s_171;s_172;s_173;s_180;s_181;s_182;s_183;s_184;s_185;s_186;s_187;s_188;s_189;s_190;s_191;s_192;s_193;s_194;s_195;s_196;s_197;s_198;s_199;s_200;s_201;s_202;s_203;s_204;s_205;s_206;s_207;s_175;s_135;s_178;s_136;s_71;s_137;s_177;s_240;s_85;s_86;s_97;s_70;s_72;s_73;stato_1;stato_2;stato_3;stato_4;stato_5
2020-05-12 17:53:00;2020-05-12 17:46:01;418,66;"";2;3;8;"";8;"";4;4;4;4;4;1;1;"";1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;"";4;3;4;4;;;;;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;4;3;3;3;4;5;4;4;2;4;2;2;5;3;4;4;4;2;3;4;5;4;4;3;3;3;4;5;2;4;4;4;3;5;4;4;4;4;3;3;5;2;"<p>The design and interface</p>";1;"<p>Too simple</p>";"<p>the interface</p>";"";"<p>yes</p>";"<p>Quite helpful</p>";5;5;5;"<p>a little</p>";"";"";0;0;0;1;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;2020-05-12 17:35:15;;"";1;3;4;"";10;"homemaker and mturk worker";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
2020-05-12 21:14:29;2020-05-12 21:04:14;614,69;"";2;2;6;"";11;"";1;5;5;5;5;1;2;"";0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;"";4;4;3;4;;;;;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;4;3;2;2;2;2;3;2;3;3;3;3;2;4;3;4;3;4;4;2;4;1;3;4;3;3;4;4;5;1;4;2;4;2;4;1;4;1;4;2;4;3;"<p>I like interface 3 the most because it balances providing extra information for why the system recommended the songs while also presenting this information is a nice appealing and easy to understand way. The visuals of the bar graph are superior to the statistics in my opinion which are dry and hard to look at.&nbsp;</p>";1;"<p>I dislike this interface the most because it doesn&#39;t&nbsp;provide advanced information for why songs were recommended.&nbsp;</p>";"<p>In general I like how they increase my understanding of why the system recommends the things it does and I like that the designs are mostly easy on the eyes however I think representing the information with percentages is too much and can cause some people to be turned off by it. I think it&#39;s too complex.&nbsp;</p>";"";"<p>I think the mood based recommendations are helpful for trying to figure out which music can be appropriate in certain contexts. Of course feelings are subjective so it&#39;s not going to be right all the time but in general it is useful to have in my opinion.&nbsp;</p>";"<p>I think using moods is a general and good way for classifying certain groupings of music however it cannot be used with 100% accuracy as we all perceive moods in different ways as individuals. It is good to get a general idea for the vibes of songs or playlists.&nbsp;</p>";5;5;4;"<p>My opinion hasn&#39;t changed really but I see now how there are so many different ways these services can include additional information that it makes me eager to see these things implemented as soon as possible.&nbsp;</p>";"";"";0;0;0;1;0
;;;"";;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
2020-05-12 18:02:27;2020-05-12 17:52:03;624;"";2;2;7;"";13;"";3;5;4;2;3;3;1;"";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;4;5;2;3;1;1;3;3;2;2;4;1;4;3;5;2;4;2;5;2;1;3;4;2;4;3;5;3;5;1;1;4;2;2;5;4;3;1;3;2;"<p>Really good for this study and thanks to all</p>";3;"<p>none</p>";"<p>yeah yes</p>";"<p>no</p>";"<p>yeah</p>";"<p>literally ok</p>";4;5;4;"<p>none</p>";"<p>none</p>";"<p>none</p>";0;0;0;1;0
2020-05-12 17:43:40;2020-05-12 17:36:43;417,163;"";1;2;4;"";3;"";2;4;3;2;2;3;3;"";0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;2;3;2;4;2;4;4;4;4;2;4;1;4;1;4;1;4;2;4;1;4;3;4;2;4;3;4;2;3;3;3;3;4;2;2;2;3;2;"<p>It gave a lot of info in a way that&#39;s very easy to understand.</p>";3;"<p>It doesn&#39;t look as nice and is a little confusing.</p>";"<p>I like that they tell you exactly why songs are picked.</p><p>I don&#39;t like that some of the explanations don&#39;t really make sense</p>";"";"<p>Yes, it was interesting to see.</p>";"<p>I don&#39;t think I would use it because I don&#39;t really pick songs by mood, but I like the idea and I think others would use it.</p>";4;2;2;"<p>No</p>";"";"";0;0;0;1;0
2020-05-12 18:26:29;2020-05-12 18:17:06;563,403;"";2;2;6;"";4;"";3;4;2;3;3;2;6;"";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"";;;;;4;4;3;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;2;2;3;3;3;3;2;3;3;4;3;3;3;3;3;3;3;2;3;3;4;4;2;4;3;2;4;2;3;3;2;3;3;2;3;3;4;2;3;2;"<p>I feel it is appropriate and reliable.</p>";2;"<p>I like it because it is more attractive.</p>";"<p>Good</p>";"<p>Nothing</p>";"<p>Not interested</p>";"<p>Not interested</p>";5;5;5;"<p>No</p>";"";"<p>Good</p>";0;0;0;1;0
2020-05-12 17:51:26;2020-05-12 17:40:03;682,493;"";2;3;4;"";8;"";1;5;5;5;4;1;1;"";0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;"";4;3;4;4;;;;;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;4;2;3;2;1;1;5;2;3;3;3;3;2;4;3;4;2;4;4;2;4;4;2;4;2;3;4;4;3;4;3;4;4;2;4;4;3;4;3;2;4;3;"<p>I like the visual representation of each different quality, it&#39;s quicker to interpret than a number percentage.</p>";1;"<p>This design provides no actionable information for me to digest on its recommendation.</p>";"<p>I like the designs that breakdown the qualities of each song and how they relate to other recommended songs. I dislike the design that offers no explanation in its recommendations because I can have no sense of trust or accountability in this version.</p>";"";"<p>They were a little helpful because I can relate how one song makes me feel to another one.</p>";"<p>I like the idea and think it could be useful for discovering new music.</p>";5;3;3;"<p>My opinion has not changed</p>";"";"";0;0;0;1;0
;2020-05-12 17:50:33;;"";2;2;6;"";4;"";4;1;3;1;1;3;6;"";1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;2;4;1;3;3;3;4;3;3;1;3;4;3;4;2;3;1;1;5;4;4;4;3;2;3;2;5;5;5;4;3;1;2;2;3;5;5;3;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
