variableName;variableDescription
"closetim";"Close time"
"starttim";"Start time"
"difftime";"Response duration (seconds)"
"email";"E-mail"
"s_2";"1. What gender do you currently associate with?"
"s_3";"2. Which age group do you belong to?"
"s_6";"3. Education: Which category best describes you?"
"s_1";"3. Education: Which category best describes you? - Other"
"s_8";"4. Work: Which category best describes you?"
"s_4";"4. Work: Which category best describes you? - Other"
"s_262";"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The thought of using unfamiliar digital technology is uncomfortable."
"s_263";"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am confident about my ability to use digital technologies."
"s_259";"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with recommender systems."
"s_260";"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with Spotify."
"s_261";"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with Spotify's recommendation features."
"s_257";"2. Do you currently use a music streaming service such as Apple Music, Deezer, Spotify, Tidal etc.?"
"s_15";"3. How often do you use your smartphone to listen to music?"
"s_5";"3. How often do you use your smartphone to listen to music? - Other"
"s_21_1";"4. What are your favorite music genres? You may choose up to 3. - Blues"
"s_21_2";"4. What are your favorite music genres? You may choose up to 3. - Classical / Opera"
"s_21_3";"4. What are your favorite music genres? You may choose up to 3. - Country"
"s_21_4";"4. What are your favorite music genres? You may choose up to 3. - Dance / Electronic / House"
"s_21_5";"4. What are your favorite music genres? You may choose up to 3. - Easy Listening"
"s_21_6";"4. What are your favorite music genres? You may choose up to 3. - Folk"
"s_21_7";"4. What are your favorite music genres? You may choose up to 3. - Heavy Metal"
"s_21_8";"4. What are your favorite music genres? You may choose up to 3. - Hip Hop / Rap"
"s_21_9";"4. What are your favorite music genres? You may choose up to 3. - Jazz"
"s_21_10";"4. What are your favorite music genres? You may choose up to 3. - Latin"
"s_21_11";"4. What are your favorite music genres? You may choose up to 3. - Pop"
"s_21_12";"4. What are your favorite music genres? You may choose up to 3. - Reggae"
"s_21_13";"4. What are your favorite music genres? You may choose up to 3. - R&B / Soul"
"s_21_14";"4. What are your favorite music genres? You may choose up to 3. - Rock"
"s_21_15";"4. What are your favorite music genres? You may choose up to 3. - Other"
"s_7";"4. What are your favorite music genres? You may choose up to 3. - Other"
"s_256";"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I often listen to the music recommendations that are suggested to me."
"s_235";"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understand the music recommendations that are suggested to me."
"s_236";"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like more control over my music recommendations."
"s_237";"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like better explanations for why certain music is recommended to me."
"s_227";"You previously stated that you used to use a music streaming service. Please answer these questions based on your previous experience with music streaming service to the best of your recollection.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I often used to listen to the music recommendations that were suggested to me."
"s_228";"You previously stated that you used to use a music streaming service. Please answer these questions based on your previous experience with music streaming service to the best of your recollection.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understood the music recommendations that were suggested to me."
"s_229";"You previously stated that you used to use a music streaming service. Please answer these questions based on your previous experience with music streaming service to the best of your recollection.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would have liked more control over my music recommendations."
"s_230";"You previously stated that you used to use a music streaming service. Please answer these questions based on your previous experience with music streaming service to the best of your recollection.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would have liked better explanations for why certain music was recommended to me."
"s_24_1";"Recommendation Explanation Data: What types of additional information would you like to have in order to better understand why certain music was recommended to you? Choose as many as you'd like. - Acousticness (how acoustic or electronic the music is, acoustic/analog vs electric/digital instruments)"
