difftime;s_2;s_3;s_6;s_1;s_8;s_4;s_262;s_263;s_259;s_260;s_261;s_257;s_15;s_5;s_21_1;s_21_2;s_21_3;s_21_4;s_21_5;s_21_6;s_21_7;s_21_8;s_21_9;s_21_10;s_21_11;s_21_12;s_21_13;s_21_14;s_21_15;s_7;s_256;s_235;s_236;s_237;s_227;s_228;s_229;s_230;s_24_1;s_24_2;s_24_3;s_24_4;s_24_5;s_24_6;s_24_7;s_24_8;s_24_9;s_24_10;s_24_11;s_24_12;s_24_13;s_24_14;s_24_15;s_24_16;s_24_17;s_159;s_160;s_161;s_164;s_165;s_166;s_167;s_163;s_179;s_170;s_171;s_172;s_173;s_180;s_181;s_182;s_183;s_184;s_185;s_186;s_187;s_188;s_189;s_190;s_191;s_192;s_193;s_194;s_195;s_196;s_197;s_198;s_199;s_200;s_201;s_202;s_203;s_204;s_205;s_206;s_207;s_175;s_135;s_178;s_136;s_71;s_137;s_177;s_240;s_85;s_86;s_97;s_70;s_72;s_73;stato_1;stato_2;stato_3;stato_4;stato_5
1354,917;2;2;6;"";8;"";2;4;4;4;4;1;1;"";0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;"";4;4;4;4;;;;;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;5;2;5;5;5;2;4;2;4;2;5;5;4;4;4;4;4;4;2;4;2;4;2;4;3;5;4;4;1;4;4;4;2;4;2;4;2;4;2;4;1;"<p>it has a simple design and concept</p>";2;"<p>the design is too complex.</p>";"<p>i love simplicity and i dislike complexity</p>";"";"<p>yeah.</p>";"<p>it is an amazing innovation.it keeps you in a stable mind.</p>";5;5;4;"<p>yeah</p>";"<p>none</p>";"<p>none</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
303,406;2;1;4;"";8;"";1;3;2;2;1;1;3;"";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;"";1;3;3;3;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;4;2;4;1;1;1;3;1;4;1;4;3;1;5;1;5;1;5;1;5;1;5;1;5;3;3;1;5;1;5;1;5;1;5;1;5;1;5;2;5;2;"<p>It is the easiest to read.</p>";1;"<p>It has no information.</p>";"<p>I like that it shows moods, but it shows too many moods.</p>";"";"<p>Yes</p>";"<p>I think it is a great idea</p>";5;5;5;"<p>not rrsally</p>";"";"";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;2;2;6;"";11;"";5;4;5;4;4;1;1;"";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"";4;4;5;4;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;4;4;3;4;3;4;5;4;4;4;4;3;4;4;5;4;4;4;3;5;3;4;4;3;4;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;0;1;0;0
923,703;1;3;4;"";10;"Admnistrative";2;4;4;4;2;1;2;"";0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;"";4;3;5;5;;;;;1;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;3;4;2;4;2;4;2;4;3;4;2;4;4;4;4;2;4;5;4;2;4;3;2;4;3;3;3;4;5;2;4;2;4;2;4;2;5;1;5;2;4;3;"<p>This is the most modern design and also is not visually overwhelming to look at. It fits in with the look of the app and allows me to make a quick comparison without having to put too much thought into it and I can get a fast answer.</p>";2;"<p>It does not look aesthetically pleasing, in fact it clashes with the overall look of the app. I have to think too hard when going back and forth between my playlist and the artist to make a comparison and takes too long to get what should be a quick answer.</p>";"<p>I like that there&#39;s a comparison to work off of so that it the recommendation algorithms make more sense and that I can get an explanation for every song as well.&nbsp;</p>";"<p>I&#39;d like for there to be a feature where the user can filter out certain results that the user doesn&#39;t care about for the algorithm to pick up on, like say &quot;Fear&quot;. That way the algorithm will know it doesn&#39;t need to match those categories the user doesn&#39;t care about as much.</p>";"<p>Yes, but honestly I can listen to sad songs while I&#39;m in a good mood just because I like the melody of the song and it won&#39;t necessarily affect my mood one way or the other. At least it was interesting to see how the algorithm came about its decisions.</p>";"<p>I think moods are nice but I&#39;d like to see more filters like tone of voice, cadence, rhythms and things like that. Most people aren&#39;t actively listening to music all the time, rather it&#39;s in the background, so if music by a certain artist sounds good then what you should be looking for is something that sounds similar stylistically regardless of the mood prognostication.</p>";4;5;5;"<p>If I was able to use this kind&nbsp;of system I might have a better view of recommendations especially as I see very random ones that seem to be more geared to what someone might be pushing, especially when it comes to new music.</p>";"<p>There should be a way for users to be able to tweak the filters to turn on or off the ones that they find most important for the algorithm to work off of and then there would be a more personalized experience.</p>";"<p>I really really love the 3rd Interface and hope that that is going to be in development soon as it is the most exciting one as far as I&#39;m concerned. If you could couple that with filters to be used by users I think it would&nbsp; be the most perfect addition to any app possibly ever, no hyperbole.</p>";0;0;0;1;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
;;;;"";;"";;;;;;;;"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;"";"";"";"";"";;;;"";"";"";0;1;0;0;0
513,82;2;5;6;"";8;"";3;4;3;4;3;1;1;"";0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;"";3;3;4;4;;;;;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;4;4;4;4;3;4;3;4;3;3;4;3;3;4;2;4;3;3;4;3;4;3;2;2;3;3;4;4;3;2;2;2;4;3;2;3;4;2;3;2;2;2;"<p>BECAUSE THE DESIGN AND THE PERFORMANCE AND OVERALL IT IS TOO GOOD SO I RECOMMEND FOR THAT DESIGN.</p>";1;"<p>BECAUSE I DON&#39;T LIKE IT.</p>";"<p>BECAUSE THE DESIGN AND THE PERFORMANCE AND OVERALL IT IS TOO GOOD SO I RECOMMEND FOR THAT DESIGN. I DO LIKE THE LEAST&nbsp;BECAUSE I DON&#39;T LIKE IT.</p>";"";"<p>YES IT IS VERY HELPFUL OF THE MOOD BASED RECOMMENDATION.</p>";"<p>YES,</p>";3;3;3;"<p>NO.</p>";"";"";0;0;0;1;0
