questionName;variableName;questionType;subType;questionText;choiceValue;choiceText
diffTime;difftime;Open;Double;"Response duration (seconds)";;
s_2;s_2;Closed;Single;"1. What gender do you currently associate with?";;
s_3;s_3;Closed;Single;"2. Which age group do you belong to?";;
s_6;s_6;Closed;Single;"3. Education: Which category best describes you?";;
s_1;s_1;Open;String;"3. Education: Which category best describes you? - Other";;
s_8;s_8;Closed;Single;"4. Work: Which category best describes you?";;
s_4;s_4;Open;String;"4. Work: Which category best describes you? - Other";;
s_262;s_262;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - The thought of using unfamiliar digital technology is uncomfortable.";;
s_263;s_263;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am confident about my ability to use digital technologies.";;
s_259;s_259;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with recommender systems.";;
s_260;s_260;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with Spotify.";;
s_261;s_261;Closed;Single;"1. Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I am familiar with Spotify's recommendation features.";;
s_257;s_257;Closed;Single;"2. Do you currently use a music streaming service such as Apple Music, Deezer, Spotify, Tidal etc.?";;
s_15;s_15;Closed;Single;"3. How often do you use your smartphone to listen to music?";;
s_5;s_5;Open;String;"3. How often do you use your smartphone to listen to music? - Other";;
s_21;s_21_1;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";1;"Blues";
s_21;s_21_2;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";8;"Classical / Opera";
s_21;s_21_3;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";20;"Country";
s_21;s_21_4;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";11;"Dance / Electronic / House";
s_21;s_21_5;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";7;"Easy Listening";
s_21;s_21_6;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";10;"Folk";
s_21;s_21_7;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";28;"Heavy Metal";
s_21;s_21_8;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";13;"Hip Hop / Rap";
s_21;s_21_9;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";15;"Jazz";
s_21;s_21_10;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";22;"Latin";
s_21;s_21_11;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";4;"Pop";
s_21;s_21_12;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";18;"Reggae";
s_21;s_21_13;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";12;"R&B / Soul";
s_21;s_21_14;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";5;"Rock";
s_21;s_21_15;Closed;Multiple;"4. What are your favorite music genres? You may choose up to 3.";24;"Other";
s_7;s_7;Open;String;"4. What are your favorite music genres? You may choose up to 3. - Other";;
s_256;s_256;Closed;Single;"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I often listen to the music recommendations that are suggested to me.";;
s_235;s_235;Closed;Single;"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I understand the music recommendations that are suggested to me.";;
s_236;s_236;Closed;Single;"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like more control over my music recommendations.";;
s_237;s_237;Closed;Single;"You previously stated that you currently use a music streaming service. Please answer these questions based on your experience with your current music streaming service.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I would like better explanations for why certain music is recommended to me.";;
s_227;s_227;Closed;Single;"You previously stated that you used to use a music streaming service. Please answer these questions based on your previous experience with music streaming service to the best of your recollection.  Please choose whether you agree or disagree with the following statements on a scale of 1 - 5, where 1 means strongly disagree and 5 means strongly agree. - I often used to listen to the music recommendations that were suggested to me.";;
